Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game],Brisbane Lions [Game by Game]
#,Player,GM,KI,MK,HB,DI,DA,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,SU
15,"Zorko, Dayne",21,341,79,185,526,25.05,34.0,27.0,,147,44.0,104.0,113.0,92.0,38.0,29.0,14.0,219,304,7.0,11.0,24.0,13.0,13.0,83.9,
9,"Beams, Dayne",19,276,86,238,514,27.05,20.0,11.0,,79,41.0,56.0,93.0,64.0,23.0,15.0,17.0,201,307,6.0,13.0,20.0,3.0,12.0,81.8,
38,"Rockliff, Tom",20,268,106,212,480,24.0,16.0,5.0,2.0,117,25.0,81.0,127.0,65.0,21.0,26.0,2.0,204,268,4.0,13.0,17.0,,10.0,83.3,
10,"Rich, Daniel",22,322,81,147,469,21.32,8.0,11.0,,35,107.0,68.0,25.0,67.0,22.0,20.0,4.0,139,302,6.0,3.0,59.0,,9.0,82.5,
32,"Mayes, Sam",21,270,127,170,440,20.95,,1.0,1.0,38,77.0,41.0,13.0,38.0,12.0,7.0,,103,326,2.0,1.0,73.0,3.0,2.0,85.9,
28,"Taylor, Lewis",22,243,87,185,428,19.45,17.0,15.0,,59,32.0,74.0,22.0,34.0,18.0,7.0,1.0,114,320,,6.0,14.0,11.0,19.0,85.7,
12,"Martin, Stefan",22,190,88,193,383,17.41,1.0,3.0,770.0,57,19.0,62.0,113.0,69.0,40.0,24.0,6.0,197,170,11.0,3.0,44.0,,12.0,88.3,
35,"Lester, Ryan",22,198,117,159,357,16.23,14.0,8.0,,63,33.0,31.0,27.0,34.0,17.0,10.0,1.0,132,230,14.0,16.0,36.0,3.0,17.0,82.0,
18,"Robertson, Nick",21,180,92,157,337,16.05,1.0,2.0,,67,49.0,37.0,9.0,66.0,18.0,34.0,,95,241,5.0,,47.0,2.0,3.0,86.0,
4,"Bastinac, Ryan",16,151,68,137,288,18.0,19.0,5.0,,55,29.0,39.0,34.0,40.0,14.0,10.0,,112,184,3.0,14.0,18.0,4.0,4.0,82.6,
31,"Andrews, Harris",22,170,138,116,286,13.0,2.0,,1.0,22,50.0,6.0,4.0,50.0,14.0,24.0,,105,189,33.0,1.0,172.0,3.0,1.0,95.3,
6,"McCluggage, Hugh",18,152,70,120,272,15.11,8.0,15.0,,36,18.0,35.0,15.0,45.0,13.0,8.0,,74,197,3.0,7.0,12.0,4.0,7.0,78.4,
27,"Gardiner, Darcy",19,134,89,110,244,12.84,1.0,1.0,,44,47.0,15.0,4.0,44.0,10.0,15.0,,74,172,6.0,2.0,115.0,2.0,2.0,79.2,
43,"Barrett, Jake",17,101,48,141,242,14.24,15.0,11.0,,82,3.0,25.0,16.0,35.0,10.0,13.0,,93,156,1.0,12.0,9.0,,9.0,84.0,
36,"Mathieson, Rhys",13,106,44,130,236,18.15,8.0,1.0,1.0,47,22.0,35.0,46.0,39.0,32.0,15.0,,118,126,1.0,4.0,9.0,,7.0,73.7,
26,"Cutler, Tom",12,148,66,83,231,19.25,8.0,6.0,,16,49.0,33.0,9.0,25.0,5.0,5.0,,43,173,3.0,5.0,13.0,4.0,2.0,78.9,
25,"McStay, Daniel",19,119,95,103,222,11.68,1.0,1.0,,33,39.0,15.0,3.0,36.0,11.0,12.0,,84,139,18.0,3.0,107.0,,3.0,84.1,
13,"Berry, Jarrod",16,92,56,127,219,13.69,7.0,3.0,,61,17.0,31.0,30.0,27.0,20.0,15.0,,95,130,3.0,9.0,16.0,1.0,9.0,74.3,
29,"Witherden, Alex",9,143,48,69,212,23.56,2.0,,,23,44.0,14.0,7.0,30.0,5.0,8.0,,44,135,2.0,,12.0,2.0,1.0,79.4,
30,"Hipwood, Eric",20,124,59,48,172,8.6,30.0,16.0,1.0,25,4.0,38.0,2.0,51.0,16.0,15.0,2.0,81,88,22.0,23.0,26.0,4.0,11.0,82.3,
1,"Keays, Ben",10,70,30,81,151,15.1,6.0,3.0,,41,7.0,20.0,12.0,26.0,3.0,11.0,,65,88,1.0,6.0,9.0,,4.0,79.3,
5,"Robinson, Mitch",7,68,27,69,137,19.57,9.0,2.0,,29,9.0,24.0,24.0,19.0,11.0,9.0,,60,74,3.0,4.0,10.0,,5.0,79.9,
14,"Walker, Josh",11,72,58,60,132,12.0,9.0,4.0,33.0,22,8.0,17.0,6.0,24.0,7.0,7.0,,62,74,21.0,10.0,29.0,,2.0,77.5,
17,"Beams, Claye",9,70,42,56,126,14.0,4.0,2.0,,14,14.0,18.0,10.0,13.0,4.0,4.0,,35,85,5.0,6.0,5.0,3.0,5.0,64.6,
